"File_221110_221826 - RawData"
"Wavelength nm.","Abs."
300.00,-0.42789
300.50,-0.37839
301.00,-0.33293
301.50,-0.27910
302.00,-0.24399
302.50,-0.20387
303.00,-0.17418
303.50,-0.14738
304.00,-0.13071
304.50,-0.11095
305.00,-0.09488
305.50,-0.08751
306.00,-0.11026
306.50,-0.09673
307.00,-0.08508
307.50,-0.07265
308.00,-0.06238
308.50,-0.05707
309.00,-0.05016
309.50,-0.04420
310.00,-0.03690
310.50,-0.02916
311.00,-0.02885
311.50,-0.02406
312.00,-0.02426
312.50,-0.02200
313.00,-0.02203
313.50,-0.01979
314.00,-0.01938
314.50,-0.01801
315.00,-0.01750
315.50,-0.01617
316.00,-0.01567
316.50,-0.01448
317.00,-0.01448
317.50,-0.01436
318.00,-0.01379
318.50,-0.01314
319.00,-0.01222
319.50,-0.01273
320.00,-0.01337
320.50,-0.01395
321.00,-0.01457
321.50,-0.01448
322.00,-0.01489
322.50,-0.01633
323.00,-0.01601
323.50,-0.01616
324.00,-0.01587
324.50,-0.01553
325.00,-0.01604
325.50,-0.01559
326.00,-0.01581
326.50,-0.01611
327.00,-0.01645
327.50,-0.01666
328.00,-0.01660
328.50,-0.01709
329.00,-0.01773
329.50,-0.01805
330.00,-0.01830
330.50,-0.01880
331.00,-0.01912
331.50,-0.01891
332.00,-0.01894
332.50,-0.01891
333.00,-0.01929
333.50,-0.01965
334.00,-0.01935
334.50,-0.01982
335.00,-0.01994
335.50,-0.02010
336.00,-0.01965
336.50,-0.01991
337.00,-0.02019
337.50,-0.02066
338.00,-0.02060
338.50,-0.02104
339.00,-0.02118
339.50,-0.02155
340.00,-0.02264
340.50,-0.02403
341.00,-0.02168
341.50,-0.02145
342.00,-0.02151
342.50,-0.02165
343.00,-0.02153
343.50,-0.02174
344.00,-0.02170
344.50,-0.02162
345.00,-0.02185
345.50,-0.02196
346.00,-0.02200
346.50,-0.02194
347.00,-0.02194
347.50,-0.02220
348.00,-0.02203
348.50,-0.02216
349.00,-0.02229
349.50,-0.02255
350.00,-0.02226
350.50,-0.02257
351.00,-0.02248
351.50,-0.02277
352.00,-0.02296
352.50,-0.02258
353.00,-0.02248
353.50,-0.02216
354.00,-0.02245
354.50,-0.02243
355.00,-0.02249
355.50,-0.02223
356.00,-0.02267
356.50,-0.02264
357.00,-0.02258
357.50,-0.02272
358.00,-0.02274
358.50,-0.02243
359.00,-0.02232
359.50,-0.02240
360.00,-0.02249
360.50,-0.02281
361.00,-0.02280
361.50,-0.02263
362.00,-0.02240
362.50,-0.02229
363.00,-0.02258
363.50,-0.02263
364.00,-0.02267
364.50,-0.02278
365.00,-0.02277
365.50,-0.02264
366.00,-0.02251
366.50,-0.02248
367.00,-0.02228
367.50,-0.02242
368.00,-0.02249
368.50,-0.02243
369.00,-0.02232
369.50,-0.02238
