"File_221110_221531 - RawData"
"Wavelength nm.";"Abs."
300,00;-1,65318
300,50;-1,57143
301,00;-1,49529
301,50;-1,41280
302,00;-1,33772
302,50;-1,26268
303,00;-1,19426
303,50;-1,12688
304,00;-1,06902
304,50;-1,01035
305,00;-0,95427
305,50;-0,90012
306,00;-0,86269
306,50;-0,80890
307,00;-0,76106
307,50;-0,71460
308,00;-0,67024
308,50;-0,62906
309,00;-0,59528
309,50;-0,55583
310,00;-0,51903
310,50;-0,48592
311,00;-0,45456
311,50;-0,42607
312,00;-0,40208
312,50;-0,37750
313,00;-0,35342
313,50;-0,33070
314,00;-0,31175
314,50;-0,29262
315,00;-0,27542
315,50;-0,25925
316,00;-0,24504
316,50;-0,23012
317,00;-0,21712
317,50;-0,20456
318,00;-0,19302
318,50;-0,18259
319,00;-0,17291
319,50;-0,16333
320,00;-0,15529
320,50;-0,14700
321,00;-0,13962
321,50;-0,13322
322,00;-0,12720
322,50;-0,12123
323,00;-0,11577
323,50;-0,11029
324,00;-0,10533
324,50;-0,10069
325,00;-0,09641
325,50;-0,09268
326,00;-0,08887
326,50;-0,08533
327,00;-0,08170
327,50;-0,07867
328,00;-0,07561
328,50;-0,07281
329,00;-0,07011
329,50;-0,06833
330,00;-0,06668
330,50;-0,06450
331,00;-0,06261
331,50;-0,06081
332,00;-0,05922
332,50;-0,05731
333,00;-0,05589
333,50;-0,05482
334,00;-0,05396
334,50;-0,05231
335,00;-0,05092
335,50;-0,04971
336,00;-0,04843
336,50;-0,04709
337,00;-0,04567
337,50;-0,04514
338,00;-0,04492
338,50;-0,04402
339,00;-0,04324
339,50;-0,04272
340,00;-0,04376
340,50;-0,04411
341,00;-0,03828
341,50;-0,03702
342,00;-0,03702
342,50;-0,03651
343,00;-0,03563
343,50;-0,03531
344,00;-0,03513
344,50;-0,03477
345,00;-0,03407
345,50;-0,03380
346,00;-0,03358
346,50;-0,03371
347,00;-0,03307
347,50;-0,03273
348,00;-0,03264
348,50;-0,03268
349,00;-0,03238
349,50;-0,03203
350,00;-0,03181
350,50;-0,03185
351,00;-0,03177
351,50;-0,03151
352,00;-0,03127
352,50;-0,03114
353,00;-0,03082
353,50;-0,03038
354,00;-0,03017
354,50;-0,03014
355,00;-0,03027
355,50;-0,03024
356,00;-0,02986
356,50;-0,02977
357,00;-0,03003
357,50;-0,03017
358,00;-0,02980
358,50;-0,02934
359,00;-0,02924
359,50;-0,02937
360,00;-0,02942
360,50;-0,02902
361,00;-0,02875
361,50;-0,02878
362,00;-0,02885
362,50;-0,02893
363,00;-0,02863
363,50;-0,02844
364,00;-0,02893
364,50;-0,02914
365,00;-0,02899
365,50;-0,02859
366,00;-0,02831
366,50;-0,02850
367,00;-0,02856
367,50;-0,02849
368,00;-0,02820
368,50;-0,02800
369,00;-0,02829
369,50;-0,02840
370,00;-0,02817
370,50;-0,02803
371,00;-0,02800
371,50;-0,02817
372,00;-0,02831
372,50;-0,02811
373,00;-0,02792
373,50;-0,02789
374,00;-0,02826
374,50;-0,02844
375,00;-0,02827
375,50;-0,02805
376,00;-0,02795
376,50;-0,02820
377,00;-0,02861
377,50;-0,02826
378,00;-0,02800
378,50;-0,02797
379,00;-0,02809
379,50;-0,02837
380,00;-0,02847
380,50;-0,02815
381,00;-0,02783
381,50;-0,02786
382,00;-0,02818
382,50;-0,02826
383,00;-0,02782
383,50;-0,02754
384,00;-0,02759
384,50;-0,02769
385,00;-0,02798
385,50;-0,02791
386,00;-0,02765
386,50;-0,02745
387,00;-0,02751
387,50;-0,02780
388,00;-0,02774
388,50;-0,02737
389,00;-0,02711
389,50;-0,02695
390,00;-0,02696
390,50;-0,02728
391,00;-0,02751
391,50;-0,02725
392,00;-0,02678
392,50;-0,02679
393,00;-0,02687
393,50;-0,02710
394,00;-0,02701
394,50;-0,02676
395,00;-0,02638
395,50;-0,02647
396,00;-0,02690
396,50;-0,02708
397,00;-0,02682
397,50;-0,02647
398,00;-0,02621
398,50;-0,02640
399,00;-0,02678
399,50;-0,02692
400,00;-0,02663
400,50;-0,02618
401,00;-0,02609
401,50;-0,02625
402,00;-0,02664
402,50;-0,02679
403,00;-0,02640
403,50;-0,02597
404,00;-0,02586
404,50;-0,02625
405,00;-0,02660
405,50;-0,02664
406,00;-0,02626
406,50;-0,02588
407,00;-0,02588
407,50;-0,02605
408,00;-0,02641
408,50;-0,02655
409,00;-0,02626
409,50;-0,02596
410,00;-0,02568
410,50;-0,02585
411,00;-0,02625
411,50;-0,02643
412,00;-0,02629
412,50;-0,02589
413,00;-0,02568
413,50;-0,02573
414,00;-0,02606
414,50;-0,02637
415,00;-0,02629
415,50;-0,02599
416,00;-0,02568
416,50;-0,02556
417,00;-0,02586
417,50;-0,02620
418,00;-0,02632
418,50;-0,02611
419,00;-0,02579
419,50;-0,02550
420,00;-0,02557
420,50;-0,02589
421,00;-0,02623
421,50;-0,02618
422,00;-0,02588
422,50;-0,02550
423,00;-0,02533
423,50;-0,02557
424,00;-0,02602
424,50;-0,02623
425,00;-0,02605
425,50;-0,02559
426,00;-0,02533
426,50;-0,02541
427,00;-0,02570
427,50;-0,02606
428,00;-0,02614
428,50;-0,02583
429,00;-0,02538
429,50;-0,02524
430,00;-0,02548
430,50;-0,02577
431,00;-0,02591
431,50;-0,02586
