"File_221110_222318 - RawData"
"Wavelength nm.";"Abs."
300,00;0,08296
300,50;0,06190
301,00;0,04477
301,50;0,05696
302,00;0,04640
302,50;0,05287
303,00;0,05402
303,50;0,04788
304,00;0,04059
304,50;0,03654
305,00;0,03944
305,50;0,04498
306,00;0,03026
306,50;0,02965
307,00;0,03035
307,50;0,03003
308,00;0,02979
308,50;0,02885
309,00;0,02377
309,50;0,02231
310,00;0,01794
310,50;0,01814
311,00;0,01768
311,50;0,01511
312,00;0,01328
312,50;0,01251
313,00;0,00963
313,50;0,00914
314,00;0,00819
314,50;0,00714
315,00;0,00569
315,50;0,00516
316,00;0,00389
316,50;0,00333
317,00;0,00180
317,50;0,00085
318,00;-0,00127
318,50;-0,00116
319,00;-0,00195
319,50;-0,00214
320,00;-0,00240
320,50;-0,00299
321,00;-0,00467
321,50;-0,00610
322,00;-0,00745
322,50;-0,00870
323,00;-0,00948
323,50;-0,00928
324,00;-0,00964
324,50;-0,00964
325,00;-0,01039
325,50;-0,01175
326,00;-0,01277
326,50;-0,01334
327,00;-0,01305
327,50;-0,01295
328,00;-0,01263
328,50;-0,01285
329,00;-0,01355
329,50;-0,01468
330,00;-0,01564
330,50;-0,01637
331,00;-0,01631
331,50;-0,01645
332,00;-0,01576
332,50;-0,01582
333,00;-0,01640
333,50;-0,01732
334,00;-0,01796
334,50;-0,01889
335,00;-0,01921
335,50;-0,01895
336,00;-0,01814
336,50;-0,01764
337,00;-0,01778
337,50;-0,01822
338,00;-0,01926
338,50;-0,01996
339,00;-0,02049
339,50;-0,02063
340,00;-0,02193
340,50;-0,02264
341,00;-0,01962
341,50;-0,01953
342,00;-0,01999
342,50;-0,02081
343,00;-0,02133
343,50;-0,02177
344,00;-0,02132
344,50;-0,02110
345,00;-0,02058
345,50;-0,02042
346,00;-0,02037
346,50;-0,02086
347,00;-0,02147
347,50;-0,02185
348,00;-0,02211
348,50;-0,02220
349,00;-0,02176
349,50;-0,02110
350,00;-0,02080
350,50;-0,02126
351,00;-0,02153
351,50;-0,02199
352,00;-0,02272
352,50;-0,02299
353,00;-0,02251
353,50;-0,02205
354,00;-0,02144
354,50;-0,02095
355,00;-0,02103
355,50;-0,02138
356,00;-0,02180
356,50;-0,02222
357,00;-0,02278
357,50;-0,02309
358,00;-0,02272
358,50;-0,02213
359,00;-0,02170
359,50;-0,02129
360,00;-0,02116
360,50;-0,02141
361,00;-0,02197
361,50;-0,02238
362,00;-0,02283
362,50;-0,02298
363,00;-0,02267
363,50;-0,02240
364,00;-0,02209
364,50;-0,02161
365,00;-0,02138
365,50;-0,02141
366,00;-0,02174
366,50;-0,02229
367,00;-0,02277
367,50;-0,02303
368,00;-0,02280
368,50;-0,02219
369,00;-0,02174
369,50;-0,02141
370,00;-0,02107
370,50;-0,02112
371,00;-0,02153
371,50;-0,02190
372,00;-0,02214
372,50;-0,02235
373,00;-0,02263
373,50;-0,02238
374,00;-0,02196
374,50;-0,02136
375,00;-0,02087
375,50;-0,02069
376,00;-0,02086
376,50;-0,02122
377,00;-0,02171
377,50;-0,02202
378,00;-0,02220
378,50;-0,02208
379,00;-0,02193
379,50;-0,02126
380,00;-0,02086
380,50;-0,02055
381,00;-0,02048
381,50;-0,02063
382,00;-0,02104
382,50;-0,02148
383,00;-0,02197
383,50;-0,02228
384,00;-0,02237
384,50;-0,02211
385,00;-0,02161
385,50;-0,02119
386,00;-0,02078
386,50;-0,02072
387,00;-0,02066
387,50;-0,02098
388,00;-0,02133
388,50;-0,02184
389,00;-0,02223
389,50;-0,02222
390,00;-0,02223
390,50;-0,02206
391,00;-0,02158
391,50;-0,02119
392,00;-0,02065
392,50;-0,02042
393,00;-0,02045
393,50;-0,02081
394,00;-0,02110
394,50;-0,02162
395,00;-0,02199
395,50;-0,02217
396,00;-0,02222
396,50;-0,02197
397,00;-0,02159
397,50;-0,02104
398,00;-0,02054
398,50;-0,02019
399,00;-0,02025
399,50;-0,02055
400,00;-0,02098
400,50;-0,02145
401,00;-0,02184
401,50;-0,02211
402,00;-0,02214
402,50;-0,02194
403,00;-0,02148
403,50;-0,02086
404,00;-0,02026
404,50;-0,02014
405,00;-0,02022
405,50;-0,02031
406,00;-0,02054
406,50;-0,02098
407,00;-0,02144
407,50;-0,02177
408,00;-0,02208
408,50;-0,02209
409,00;-0,02173
409,50;-0,02121
410,00;-0,02083
410,50;-0,02022
411,00;-0,01987
411,50;-0,01985
412,00;-0,01999
412,50;-0,02029
413,00;-0,02068
413,50;-0,02113
414,00;-0,02156
414,50;-0,02173
415,00;-0,02177
415,50;-0,02155
416,00;-0,02127
416,50;-0,02094
417,00;-0,02042
417,50;-0,01996
418,00;-0,01959
418,50;-0,01945
419,00;-0,01973
419,50;-0,02002
420,00;-0,02051
420,50;-0,02106
421,00;-0,02144
421,50;-0,02170
422,00;-0,02161
422,50;-0,02133
423,00;-0,02090
423,50;-0,02040
424,00;-0,01997
424,50;-0,01953
425,00;-0,01932
425,50;-0,01938
426,00;-0,01967
426,50;-0,02005
427,00;-0,02051
427,50;-0,02103
428,00;-0,02139
428,50;-0,02155
429,00;-0,02139
429,50;-0,02118
430,00;-0,02078
430,50;-0,02029
431,00;-0,01973
431,50;-0,01933
432,00;-0,01909
432,50;-0,01897
433,00;-0,01913
433,50;-0,01950
434,00;-0,01999
434,50;-0,02039
435,00;-0,02078
435,50;-0,02110
436,00;-0,02122
436,50;-0,02119
437,00;-0,02074
437,50;-0,02042
438,00;-0,01994
438,50;-0,01947
439,00;-0,01909
439,50;-0,01886
440,00;-0,01884
440,50;-0,01906
441,00;-0,01927
441,50;-0,01959
442,00;-0,02003
442,50;-0,02045
443,00;-0,02077
443,50;-0,02101
444,00;-0,02097
444,50;-0,02078
445,00;-0,02049
445,50;-0,02010
446,00;-0,01961
446,50;-0,01909
447,00;-0,01866
447,50;-0,01852
448,00;-0,01866
448,50;-0,01881
449,00;-0,01912
449,50;-0,01968
450,00;-0,02029
450,50;-0,02066
451,00;-0,02090
451,50;-0,02103
452,00;-0,02086
452,50;-0,02058
453,00;-0,02016
453,50;-0,01968
454,00;-0,01921
454,50;-0,01884
455,00;-0,01866
455,50;-0,01846
456,00;-0,01851
456,50;-0,01868
457,00;-0,01898
457,50;-0,01941
458,00;-0,01979
458,50;-0,02023
459,00;-0,02061
459,50;-0,02074
460,00;-0,02069
460,50;-0,02055
461,00;-0,02028
461,50;-0,01987
462,00;-0,01930
462,50;-0,01889
463,00;-0,01860
463,50;-0,01830
464,00;-0,01819
464,50;-0,01830
465,00;-0,01852
465,50;-0,01880
466,00;-0,01920
466,50;-0,01956
467,00;-0,01996
467,50;-0,02032
468,00;-0,02057
468,50;-0,02058
469,00;-0,02043
469,50;-0,02020
470,00;-0,01978
470,50;-0,01930
471,00;-0,01881
471,50;-0,01840
472,00;-0,01822
472,50;-0,01811
473,00;-0,01811
473,50;-0,01822
474,00;-0,01840
474,50;-0,01881
475,00;-0,01930
475,50;-0,01974
476,00;-0,02005
476,50;-0,02036
477,00;-0,02043
477,50;-0,02037
478,00;-0,02014
478,50;-0,01978
479,00;-0,01941
479,50;-0,01904
480,00;-0,01854
480,50;-0,01825
481,00;-0,01804
481,50;-0,01788
482,00;-0,01784
482,50;-0,01804
483,00;-0,01819
483,50;-0,01852
484,00;-0,01897
484,50;-0,01932
485,00;-0,01979
485,50;-0,02003
486,00;-0,02020
486,50;-0,02019
487,00;-0,02002
487,50;-0,01970
488,00;-0,01941
488,50;-0,01897
489,00;-0,01860
489,50;-0,01828
490,00;-0,01799
490,50;-0,01779
491,00;-0,01759
491,50;-0,01758
492,00;-0,01765
492,50;-0,01804
493,00;-0,01839
493,50;-0,01871
494,00;-0,01909
494,50;-0,01945
495,00;-0,01964
495,50;-0,01981
496,00;-0,01987
496,50;-0,01984
497,00;-0,01953
497,50;-0,01932
498,00;-0,01898
498,50;-0,01855
499,00;-0,01811
499,50;-0,01775
500,00;-0,01761
500,50;-0,01736
501,00;-0,01735
501,50;-0,01749
502,00;-0,01764
502,50;-0,01796
503,00;-0,01833
503,50;-0,01875
504,00;-0,01917
504,50;-0,01936
505,00;-0,01964
505,50;-0,01979
506,00;-0,01982
506,50;-0,01970
507,00;-0,01947
507,50;-0,01924
508,00;-0,01895
508,50;-0,01842
509,00;-0,01793
509,50;-0,01762
510,00;-0,01736
510,50;-0,01720
511,00;-0,01711
511,50;-0,01711
512,00;-0,01730
512,50;-0,01752
513,00;-0,01776
513,50;-0,01822
514,00;-0,01855
514,50;-0,01883
515,00;-0,01910
515,50;-0,01927
516,00;-0,01941
516,50;-0,01945
517,00;-0,01936
517,50;-0,01920
518,00;-0,01892
518,50;-0,01855
519,00;-0,01823
519,50;-0,01788
520,00;-0,01746
520,50;-0,01707
521,00;-0,01677
521,50;-0,01691
522,00;-0,01697
522,50;-0,01706
523,00;-0,01711
523,50;-0,01740
524,00;-0,01779
524,50;-0,01820
525,00;-0,01860
525,50;-0,01888
526,00;-0,01915
526,50;-0,01929
527,00;-0,01933
527,50;-0,01921
528,00;-0,01909
528,50;-0,01888
529,00;-0,01863
529,50;-0,01834
530,00;-0,01797
530,50;-0,01756
531,00;-0,01721
531,50;-0,01701
532,00;-0,01686
532,50;-0,01671
533,00;-0,01666
533,50;-0,01678
534,00;-0,01706
534,50;-0,01724
535,00;-0,01741
535,50;-0,01778
536,00;-0,01820
536,50;-0,01854
537,00;-0,01888
537,50;-0,01894
538,00;-0,01894
538,50;-0,01898
539,00;-0,01906
539,50;-0,01898
540,00;-0,01871
540,50;-0,01846
541,00;-0,01811
541,50;-0,01781
542,00;-0,01744
542,50;-0,01704
543,00;-0,01678
543,50;-0,01657
544,00;-0,01642
544,50;-0,01642
545,00;-0,01637
545,50;-0,01648
546,00;-0,01672
546,50;-0,01692
547,00;-0,01729
547,50;-0,01762
548,00;-0,01801
548,50;-0,01826
549,00;-0,01851
